MPRN,Meter Serial Number,Read Value,Read Type,Read Date and End Time
100109xxxxx,223xxxxx,0,24 Hr Active Export Register (kWh),03/11/2025 00:00
100109xxxxx,223xxxxx,9938.228,24 Hr Active Import Register (kWh),02/11/2025 00:00
100109xxxxx,223xxxxx,0,24 Hr Active Export Register (kWh),02/11/2025 00:00
100109xxxxx,223xxxxx,9925.096,24 Hr Active Import Register (kWh),01/11/2025 00:00
100109xxxxx,223xxxxx,0,24 Hr Active Export Register (kWh),01/11/2025 00:00
100109xxxxx,223xxxxx,9911.705,24 Hr Active Import Register (kWh),31/10/2025 00:00
100109xxxxx,223xxxxx,0,24 Hr Active Export Register (kWh),31/10/2025 00:00
100109xxxxx,223xxxxx,9898.577,24 Hr Active Import Register (kWh),30/10/2025 00:00
100109xxxxx,223xxxxx,0,24 Hr Active Export Register (kWh),30/10/2025 00:00
100109xxxxx,223xxxxx,9889.202,24 Hr Active Import Register (kWh),29/10/2025 00:00
100109xxxxx,223xxxxx,0,24 Hr Active Export Register (kWh),29/10/2025 00:00
100109xxxxx,223xxxxx,9880.636,24 Hr Active Import Register (kWh),28/10/2025 00:00
100109xxxxx,223xxxxx,0,24 Hr Active Export Register (kWh),28/10/2025 00:00
100109xxxxx,223xxxxx,9869.204,24 Hr Active Import Register (kWh),27/10/2025 00:00
100109xxxxx,223xxxxx,0,24 Hr Active Export Register (kWh),27/10/2025 00:00
100109xxxxx,223xxxxx,9858.504,24 Hr Active Import Register (kWh),26/10/2025 00:00
100109xxxxx,223xxxxx,0,24 Hr Active Export Register (kWh),26/10/2025 00:00
100109xxxxx,223xxxxx,9851.113,24 Hr Active Import Register (kWh),25/10/2025 00:00
100109xxxxx,223xxxxx,0,24 Hr Active Export Register (kWh),25/10/2025 00:00
100109xxxxx,223xxxxx,9839.045,24 Hr Active Import Register (kWh),24/10/2025 00:00
100109xxxxx,223xxxxx,0,24 Hr Active Export Register (kWh),24/10/2025 00:00
100109xxxxx,223xxxxx,9824.945,24 Hr Active Import Register (kWh),23/10/2025 00:00
100109xxxxx,223xxxxx,0,24 Hr Active Export Register (kWh),23/10/2025 00:00
100109xxxxx,223xxxxx,9810.67,24 Hr Active Import Register (kWh),22/10/2025 00:00
100109xxxxx,223xxxxx,0,24 Hr Active Export Register (kWh),22/10/2025 00:00
100109xxxxx,223xxxxx,9803.311,24 Hr Active Import Register (kWh),21/10/2025 00:00
100109xxxxx,223xxxxx,0,24 Hr Active Export Register (kWh),21/10/2025 00:00
100109xxxxx,223xxxxx,9791.986,24 Hr Active Import Register (kWh),20/10/2025 00:00
100109xxxxx,223xxxxx,0,24 Hr Active Export Register (kWh),20/10/2025 00:00
100109xxxxx,223xxxxx,9780.008,24 Hr Active Import Register (kWh),19/10/2025 00:00
100109xxxxx,223xxxxx,0,24 Hr Active Export Register (kWh),19/10/2025 00:00
100109xxxxx,223xxxxx,9768.283,24 Hr Active Import Register (kWh),18/10/2025 00:00
100109xxxxx,223xxxxx,0,24 Hr Active Export Register (kWh),18/10/2025 00:00
100109xxxxx,223xxxxx,9755.348,24 Hr Active Import Register (kWh),17/10/2025 00:00
100109xxxxx,223xxxxx,0,24 Hr Active Export Register (kWh),17/10/2025 00:00
100109xxxxx,223xxxxx,9743.163,24 Hr Active Import Register (kWh),16/10/2025 00:00
100109xxxxx,223xxxxx,0,24 Hr Active Export Register (kWh),16/10/2025 00:00
100109xxxxx,223xxxxx,9736.353,24 Hr Active Import Register (kWh),15/10/2025 00:00
100109xxxxx,223xxxxx,0,24 Hr Active Export Register (kWh),15/10/2025 00:00
100109xxxxx,223xxxxx,9722.684,24 Hr Active Import Register (kWh),14/10/2025 00:00
100109xxxxx,223xxxxx,0,24 Hr Active Export Register (kWh),14/10/2025 00:00
100109xxxxx,223xxxxx,9712.326,24 Hr Active Import Register (kWh),13/10/2025 00:00
100109xxxxx,223xxxxx,0,24 Hr Active Export Register (kWh),13/10/2025 00:00
100109xxxxx,223xxxxx,9704.901,24 Hr Active Import Register (kWh),12/10/2025 00:00
100109xxxxx,223xxxxx,0,24 Hr Active Export Register (kWh),12/10/2025 00:00
100109xxxxx,223xxxxx,9694.191,24 Hr Active Import Register (kWh),11/10/2025 00:00
100109xxxxx,223xxxxx,0,24 Hr Active Export Register (kWh),11/10/2025 00:00
100109xxxxx,223xxxxx,9682.614,24 Hr Active Import Register (kWh),10/10/2025 00:00
100109xxxxx,223xxxxx,0,24 Hr Active Export Register (kWh),10/10/2025 00:00
100109xxxxx,223xxxxx,9671.564,24 Hr Active Import Register (kWh),09/10/2025 00:00
100109xxxxx,223xxxxx,0,24 Hr Active Export Register (kWh),09/10/2025 00:00
100109xxxxx,223xxxxx,9658.563,24 Hr Active Import Register (kWh),08/10/2025 00:00
100109xxxxx,223xxxxx,0,24 Hr Active Export Register (kWh),08/10/2025 00:00
100109xxxxx,223xxxxx,9644.307,24 Hr Active Import Register (kWh),07/10/2025 00:00
100109xxxxx,223xxxxx,0,24 Hr Active Export Register (kWh),07/10/2025 00:00
100109xxxxx,223xxxxx,9635.497,24 Hr Active Import Register (kWh),06/10/2025 00:00
100109xxxxx,223xxxxx,0,24 Hr Active Export Register (kWh),06/10/2025 00:00
100109xxxxx,223xxxxx,9624.109,24 Hr Active Import Register (kWh),05/10/2025 00:00
100109xxxxx,223xxxxx,0,24 Hr Active Export Register (kWh),05/10/2025 00:00
100109xxxxx,223xxxxx,9612.607,24 Hr Active Import Register (kWh),04/10/2025 00:00
100109xxxxx,223xxxxx,0,24 Hr Active Export Register (kWh),04/10/2025 00:00
100109xxxxx,223xxxxx,9598.718,24 Hr Active Import Register (kWh),03/10/2025 00:00
100109xxxxx,223xxxxx,0,24 Hr Active Export Register (kWh),03/10/2025 00:00
100109xxxxx,223xxxxx,9585.864,24 Hr Active Import Register (kWh),02/10/2025 00:00
100109xxxxx,223xxxxx,0,24 Hr Active Export Register (kWh),02/10/2025 00:00
100109xxxxx,223xxxxx,9576.32,24 Hr Active Import Register (kWh),01/10/2025 00:00
100109xxxxx,223xxxxx,0,24 Hr Active Export Register (kWh),01/10/2025 00:00
100109xxxxx,223xxxxx,9566.518,24 Hr Active Import Register (kWh),30/09/2025 00:00
100109xxxxx,223xxxxx,0,24 Hr Active Export Register (kWh),30/09/2025 00:00
100109xxxxx,223xxxxx,9556.164,24 Hr Active Import Register (kWh),29/09/2025 00:00
100109xxxxx,223xxxxx,0,24 Hr Active Export Register (kWh),29/09/2025 00:00
100109xxxxx,223xxxxx,9548.154,24 Hr Active Import Register (kWh),28/09/2025 00:00
100109xxxxx,223xxxxx,0,24 Hr Active Export Register (kWh),28/09/2025 00:00
100109xxxxx,223xxxxx,9538.593,24 Hr Active Import Register (kWh),27/09/2025 00:00
100109xxxxx,223xxxxx,0,24 Hr Active Export Register (kWh),27/09/2025 00:00
100109xxxxx,223xxxxx,9530.251,24 Hr Active Import Register (kWh),26/09/2025 00:00
100109xxxxx,223xxxxx,0,24 Hr Active Export Register (kWh),26/09/2025 00:00
100109xxxxx,223xxxxx,9519.622,24 Hr Active Import Register (kWh),25/09/2025 00:00
100109xxxxx,223xxxxx,0,24 Hr Active Export Register (kWh),25/09/2025 00:00
100109xxxxx,223xxxxx,9510.445,24 Hr Active Import Register (kWh),24/09/2025 00:00
100109xxxxx,223xxxxx,0,24 Hr Active Export Register (kWh),24/09/2025 00:00
100109xxxxx,223xxxxx,9500.18,24 Hr Active Import Register (kWh),23/09/2025 00:00
100109xxxxx,223xxxxx,0,24 Hr Active Export Register (kWh),23/09/2025 00:00
100109xxxxx,223xxxxx,9486.758,24 Hr Active Import Register (kWh),22/09/2025 00:00
100109xxxxx,223xxxxx,0,24 Hr Active Export Register (kWh),22/09/2025 00:00
100109xxxxx,223xxxxx,9477.447,24 Hr Active Import Register (kWh),21/09/2025 00:00
100109xxxxx,223xxxxx,0,24 Hr Active Export Register (kWh),21/09/2025 00:00
100109xxxxx,223xxxxx,9467.714,24 Hr Active Import Register (kWh),20/09/2025 00:00
100109xxxxx,223xxxxx,0,24 Hr Active Export Register (kWh),20/09/2025 00:00
100109xxxxx,223xxxxx,9459.573,24 Hr Active Import Register (kWh),19/09/2025 00:00
100109xxxxx,223xxxxx,0,24 Hr Active Export Register (kWh),19/09/2025 00:00
100109xxxxx,223xxxxx,9447.93,24 Hr Active Import Register (kWh),18/09/2025 00:00
100109xxxxx,223xxxxx,0,24 Hr Active Export Register (kWh),18/09/2025 00:00
100109xxxxx,223xxxxx,9439.845,24 Hr Active Import Register (kWh),17/09/2025 00:00
100109xxxxx,223xxxxx,0,24 Hr Active Export Register (kWh),17/09/2025 00:00
100109xxxxx,223xxxxx,9426.845,24 Hr Active Import Register (kWh),16/09/2025 00:00
100109xxxxx,223xxxxx,0,24 Hr Active Export Register (kWh),16/09/2025 00:00
100109xxxxx,223xxxxx,9417.795,24 Hr Active Import Register (kWh),15/09/2025 00:00
100109xxxxx,223xxxxx,0,24 Hr Active Export Register (kWh),15/09/2025 00:00
100109xxxxx,223xxxxx,9405.187,24 Hr Active Import Register (kWh),14/09/2025 00:00
100109xxxxx,223xxxxx,0,24 Hr Active Export Register (kWh),14/09/2025 00:00
100109xxxxx,223xxxxx,9394.822,24 Hr Active Import Register (kWh),13/09/2025 00:00
